name,price,link,location,date,saler type,rooms,live area,kitchen area,area,floor,floor max,building type,layout,bathroom,furnished,ceiling height,near by,repair,commission,Year of construction,appartament has
"2 ком кв Новый ремонт, новый мебель и техника  матрас новый, Ависозлар",5026384.0,https://www.olx.uz/d/obyavlenie/2-kom-kv-novyy-remont-novyy-mebel-i-tehnika-matras-novyy-avisozlar-ID44Cwk.html,Яшнабадский район,15 июня 2025 г.,Бизнес,2,50 м²,12 м²,50,2,4,Панельный,Смежная,Совмещенный,Да,280,"Больница, поликлиника, Школа, Детская площадка, Детский сад, Остановки, Парк, зелёная зона, Развлекательные заведения, Рестораны, кафе, Стоянка, Супермаркет, магазины",Евроремонт,Да,,
"Сдаю Квартиру , можно под офис !",6282980.0,https://www.olx.uz/d/obyavlenie/sdayu-kvartiru-mozhno-pod-ofis-ID3Yinw.html,Яккасарайский район,19 июня 2025 г.,Бизнес,2,68 м²,15 м²,65,1,3,Кирпичный,Раздельная,Раздельный,Да,3.50,"Больница, поликлиника, Школа, Детская площадка, Детский сад, Остановки, Парк, зелёная зона, Развлекательные заведения, Рестораны, кафе, Стоянка, Супермаркет, магазины",Средний,Да,1980 - 1989,"Телефон, Холодильник, Телевизор, Кондиционер, Кабельное ТВ, Стиральная машина, Кухня, Балкон"
Яккасарайский Район 2 комнатная квартира аренда,6282980.0,https://www.olx.uz/d/obyavlenie/yakkasarayskiy-rayon-2-komnatnaya-kvartira-arenda-ID3Y40v.html,Яккасарайский район,20 июня 2025 г.,Бизнес,2,48 м²,6 м²,55,4,9,Кирпичный,Раздельная,Раздельный,Да,3,"Школа, Супермаркет, магазины, Парк, зелёная зона, Больница, поликлиника, Стоянка, Остановки, Детский сад, Рестораны, кафе, Детская площадка, Развлекательные заведения",Евроремонт,Нет,2016,"Телефон, Кабельное ТВ, Интернет, Кондиционер, Балкон, Телевизор, Кухня, Холодильник, Стиральная машина"
Аренда чиланзар ор-р институт ин-яз,4398086.0,https://www.olx.uz/d/obyavlenie/arenda-chilanzar-or-r-institut-in-yaz-ID442eh.html,Учтепинский район,Сегодня в 21:38,Бизнес,2,35 м²,10 м²,35,1,5,Кирпичный,,Совмещенный,Да,280,,,Да,,"Интернет, Холодильник, Телевизор, Кондиционер, Кабельное ТВ, Стиральная машина, Кухня"
Аренда Квартира/ Махтумкули Голден хаус/ 4комн Новостройка,15079152.0,https://www.olx.uz/d/obyavlenie/arenda-kvartira-mahtumkuli-golden-haus-4komn-novostroyka-ID41PEg.html,Яшнабадский район,Сегодня в 21:37,Бизнес,4,120 м²,,120,5,8,Кирпичный,Студия,2 санузла и более,Да,,,Евроремонт,Да,,
Аренда Квартира/ Мирабад ор-р Цум/ 2комн,7539576.0,https://www.olx.uz/d/obyavlenie/arenda-kvartira-mirabad-or-r-tsum-2komn-ID41ZGL.html,Мирабадский район,Сегодня в 21:36,Бизнес,2,68 м²,,68,6,9,Панельный,Раздельная,Раздельный,Да,,,Авторский проект,Да,,
Аренда Квартира/ Чиланзар 19 кв ор-р Автошкола/ Новостройка 2 комн,7539576.0,https://www.olx.uz/d/obyavlenie/arenda-kvartira-chilanzar-19-kv-or-r-avtoshkola-novostroyka-2-komn-ID41PCr.html,Чиланзарский район,Сегодня в 21:34,Бизнес,2,65 м²,,65,2,9,Кирпичный,Раздельная,Раздельный,Да,,,Авторский проект,Да,,
Аренда Квартира/ Чиланзар 11кв ор-р Ал-Хоразимий/ 3 комн,7539576.0,https://www.olx.uz/d/obyavlenie/arenda-kvartira-chilanzar-11kv-or-r-al-horazimiy-3-komn-ID41ZuH.html,Чиланзарский район,Сегодня в 21:33,Бизнес,3,48 м²,,48,1,4,Кирпичный,Смежная,Совмещенный,Да,,,Евроремонт,Да,,
Аренда Квартира/ Юнусабад метро Туркистан/ 3комн,6282980.0,https://www.olx.uz/d/obyavlenie/arenda-kvartira-yunusabad-metro-turkistan-3komn-ID41ZzF.html,Юнусабадский район,Сегодня в 21:33,Бизнес,3,70 м²,,70,1,4,Кирпичный,Раздельная,Раздельный,Да,,,Авторский проект,Да,,"Балкон, Интернет, Кондиционер, Кухня, Холодильник"
"Аренда в Жк Almazar City!, 2-ком High-Tech кв БЕЗ ДЕПОЗИТА!!!",6282980.0,https://www.olx.uz/d/obyavlenie/arenda-v-zhk-almazar-city-2-kom-high-tech-kv-bez-depozita-ID44C8t.html,Алмазарский район,Сегодня в 21:32,Бизнес,2,75 м²,15 м²,75,14,16,Кирпичный,Раздельная,Раздельный,Да,3.10,"Больница, поликлиника, Школа, Детская площадка, Детский сад, Остановки, Парк, зелёная зона, Развлекательные заведения, Рестораны, кафе, Стоянка, Супермаркет, магазины",Евроремонт,Нет,,"Интернет, Телефон, Холодильник, Телевизор, Кондиционер, Кабельное ТВ, Стиральная машина, Кухня, Балкон"
Аренда Квартира/ Чиланзар ЖК NRG / Новостройка 2комн Новый,12565960.0,https://www.olx.uz/d/obyavlenie/arenda-kvartira-chilanzar-zhk-nrg-novostroyka-2komn-novyy-ID42eww.html,Чиланзарский район,Сегодня в 21:32,Бизнес,2,60 м²,,60,7,10,Панельный,Студия,Совмещенный,Да,,,Евроремонт,Да,,
